file_name,function_name,complexity,tokens,triaged_out,model,llm_latency_s,verification_latency_s,verdict,orig_instrs,final_instrs,reduction_pct
oourafft.bc,putdata,2,3459,True,,,,pending,38,38,0.0
oourafft.bc,cdft,4,3613,True,,,,pending,45,45,0.0
oourafft.bc,errorcheck,3,3897,True,,,,pending,64,64,0.0
oourafft.bc,bitrv2,8,12138,False,ollama/qwen2.5-coder:7b,43.126,,syntax_fail,587,587,0.0
oourafft.bc,cftfsub,6,8477,False,ollama/qwen2.5-coder:7b,136.721,,syntax_fail,353,353,0.0
oourafft.bc,bitrv2conj,8,13669,False,ollama/qwen2.5-coder:7b,115.583,,syntax_fail,692,692,0.0
oourafft.bc,cftbsub,6,8596,False,ollama/qwen2.5-coder:7b,75.96,0.185,unsupported,362,362,0.0
oourafft.bc,cft1st,2,16155,True,,,,pending,853,853,0.0
oourafft.bc,cftmdl,6,19775,False,ollama/qwen2.5-coder:7b,48.988,,syntax_fail,1085,1085,0.0
perlin.bc,main,4,3328,True,,,,pending,56,56,0.0
perlin.bc,noise,1,6265,True,,,,pending,221,221,0.0
perlin.bc,init,2,2834,True,,,,pending,30,30,0.0
perlin.bc,fade,1,2534,True,,,,pending,13,13,0.0
perlin.bc,lerp,1,2502,True,,,,pending,13,13,0.0
perlin.bc,grad,7,3461,False,ollama/qwen2.5-coder:3b,53.734,0.078,passed,70,70,0.0
correlation.bc,polybench_flush_cache,2,3411,True,,,,pending,40,40,0.0
correlation.bc,polybench_prepare_instruments,1,2753,True,,,,pending,2,2,0.0
correlation.bc,polybench_timer_start,1,2781,True,,,,pending,4,4,0.0
correlation.bc,polybench_timer_stop,1,2771,True,,,,pending,3,3,0.0
correlation.bc,polybench_timer_print,1,2821,True,,,,pending,5,5,0.0
correlation.bc,polybench_free_data,1,2797,True,,,,pending,5,5,0.0
correlation.bc,polybench_alloc_data,1,3081,True,,,,pending,22,22,0.0
correlation.bc,xmalloc,3,3346,True,,,,pending,34,34,0.0
correlation.bc,main,1,4023,True,,,,pending,67,67,0.0
correlation.bc,init_array,3,3607,True,,,,pending,53,53,0.0
correlation.bc,kernel_correlation,11,8409,False,ollama/qwen2.5-coder:7b,50.848,,syntax_fail,341,341,0.0
correlation.bc,print_array,3,3828,True,,,,pending,65,65,0.0
correlation.bc,rtclock,1,2753,True,,,,pending,1,1,0.0
correlation.bc,print_element,1,6092,True,,,,pending,203,203,0.0
covariance.bc,polybench_flush_cache,2,3332,True,,,,pending,40,40,0.0
covariance.bc,polybench_prepare_instruments,1,2674,True,,,,pending,2,2,0.0
covariance.bc,polybench_timer_start,1,2702,True,,,,pending,4,4,0.0
covariance.bc,polybench_timer_stop,1,2692,True,,,,pending,3,3,0.0
covariance.bc,polybench_timer_print,1,2742,True,,,,pending,5,5,0.0
covariance.bc,polybench_free_data,1,2718,True,,,,pending,5,5,0.0
covariance.bc,polybench_alloc_data,1,3002,True,,,,pending,22,22,0.0
covariance.bc,xmalloc,3,3267,True,,,,pending,34,34,0.0
covariance.bc,main,1,3754,True,,,,pending,58,58,0.0
covariance.bc,init_array,3,3517,True,,,,pending,53,53,0.0
covariance.bc,kernel_covariance,8,6088,False,ollama/qwen2.5-coder:3b,26.952,,syntax_fail,206,206,0.0
covariance.bc,print_array,3,3747,True,,,,pending,65,65,0.0
covariance.bc,rtclock,1,2674,True,,,,pending,1,1,0.0
covariance.bc,print_element,1,6015,True,,,,pending,203,203,0.0
seidel-2d.bc,polybench_flush_cache,2,3520,True,,,,pending,40,40,0.0
seidel-2d.bc,polybench_prepare_instruments,1,2862,True,,,,pending,2,2,0.0
seidel-2d.bc,polybench_timer_start,1,2890,True,,,,pending,4,4,0.0
seidel-2d.bc,polybench_timer_stop,1,2880,True,,,,pending,3,3,0.0
seidel-2d.bc,polybench_timer_print,1,2930,True,,,,pending,5,5,0.0
seidel-2d.bc,polybench_free_data,1,2906,True,,,,pending,5,5,0.0
seidel-2d.bc,polybench_alloc_data,1,3190,True,,,,pending,22,22,0.0
seidel-2d.bc,xmalloc,3,3455,True,,,,pending,34,34,0.0
seidel-2d.bc,main,2,4123,True,,,,pending,67,67,0.0
seidel-2d.bc,init_array,3,3684,True,,,,pending,51,51,0.0
seidel-2d.bc,kernel_seidel_2d,4,5419,True,,,,pending,153,153,0.0
seidel-2d.bc,kernel_seidel_2d_StrictFP,4,5419,True,,,,pending,153,153,0.0
seidel-2d.bc,check_FP,5,4567,False,ollama/qwen2.5-coder:3b,73.965,0.094,passed,98,98,0.0
seidel-2d.bc,print_array,3,3937,True,,,,pending,65,65,0.0
seidel-2d.bc,rtclock,1,2862,True,,,,pending,1,1,0.0
seidel-2d.bc,print_element,1,6203,True,,,,pending,203,203,0.0
adi.bc,polybench_flush_cache,2,3315,True,,,,pending,40,40,0.0
adi.bc,polybench_prepare_instruments,1,2657,True,,,,pending,2,2,0.0
adi.bc,polybench_timer_start,1,2685,True,,,,pending,4,4,0.0
adi.bc,polybench_timer_stop,1,2675,True,,,,pending,3,3,0.0
adi.bc,polybench_timer_print,1,2725,True,,,,pending,5,5,0.0
adi.bc,polybench_free_data,1,2701,True,,,,pending,5,5,0.0
adi.bc,polybench_alloc_data,1,2985,True,,,,pending,22,22,0.0
adi.bc,xmalloc,3,3250,True,,,,pending,34,34,0.0
adi.bc,main,1,3827,True,,,,pending,62,62,0.0
adi.bc,init_array,3,3464,True,,,,pending,50,50,0.0
adi.bc,kernel_adi,8,11394,False,ollama/qwen2.5-coder:7b,73.89,,syntax_fail,518,518,0.0
adi.bc,print_array,3,3732,True,,,,pending,65,65,0.0
adi.bc,rtclock,1,2657,True,,,,pending,1,1,0.0
adi.bc,print_element,1,5998,True,,,,pending,203,203,0.0
jacobi-2d.bc,polybench_flush_cache,2,3593,True,,,,pending,40,40,0.0
jacobi-2d.bc,polybench_prepare_instruments,1,2935,True,,,,pending,2,2,0.0
jacobi-2d.bc,polybench_timer_start,1,2963,True,,,,pending,4,4,0.0
jacobi-2d.bc,polybench_timer_stop,1,2953,True,,,,pending,3,3,0.0
jacobi-2d.bc,polybench_timer_print,1,3003,True,,,,pending,5,5,0.0
jacobi-2d.bc,polybench_free_data,1,2979,True,,,,pending,5,5,0.0
